Zone ID,Zone,CDAC ID,JAM Code,Name,Add1,Add2,Add3,PinCode,City,State,FN, AN,PwD Y/N
3,IIT DELHI,20,309,Sharda University,Plot no. 32-34,Knowledge park III,,201306,Greater Noida,Uttar Pradesh,540,300,Yes
3,IIT DELHI,27,310,G. L. B. Institute of Technology and Management,Plot no. 2,Knowledge Park - III,,201308,Greater Noida,Uttar Pradesh,545,300,Yes
3,IIT DELHI,27,311,Greater Noida Institute of Technology,Plot no 7,Knowledge park -II,,201306,Greater Noida,Uttar Pradesh,635,300,Yes
3,IIT DELHI,27,312,IIMT College of Management,Plot No. A-20,Knowledge Park III,,201308,Greater Noida,Uttar Pradesh,635,544,Yes
3,IIT DELHI,21,313,DPG Institute Of Technology And Management,Near Marble Market ,Sector 34,,122004,Gurgaon,Haryana,237,200,Yes
3,IIT DELHI,21,314,KIIT College of Engineering,KIIT Campus Sohna Road,Bhondsi,,122102,Gurgaon,Haryana,346,260,Yes
3,IIT DELHI,27,315,Dronacharya College Of Engineering Gurgaon,Khentawas, Farukh Nagar,,123506,Gurgaon,Haryana,455,300,Yes
3,IIT DELHI,22,316,OM Institute Of Technology and Management,12 KM Stone VPO Juglan,VPO Juglan Hisar-Chandigarh Road,,125001,Hisar,Haryana,462,144,Yes
3,IIT DELHI,22,317,Prannath Parnami Institute of Management and Technology,NH 65,Village Choudhriwas,Distt. Hisar,125001,Hisar,Haryana,250,250,Yes
3,IIT DELHI,23,318,Lakshmi Narain College of Technology,Village Bhavrsala Rewti range Sanwer Road,Behind SAIMS Hospital,,453331,Indore,Madhya Pradesh,143,93,Yes
3,IIT DELHI,24,319,Arya College of Engineering and Information Technology,Arya OLD Main Campus  S.P.42,RIICO Industrial Area Delhi Road Kukas,,302028,Jaipur,Rajasthan,442,0,YES
3,IIT DELHI,24,320,JECRC UNIVERSITY,PLOT NO. IS-2036 TO 2039  RAMCHANDRAPURA  SITAPURA INDS. AERA EXTN. ,NEAR MAHATAMA GHANDHI HOSPITAL VILL: VIDHANI,,303905,Jaipur,Rajasthan,260,136,Yes
3,IIT DELHI,24,321,Maharishi Arvind Institute of Engineering and Technology,Sector 7 Madhyam Marg,Mansarovar,,302020,Jaipur,Rajasthan,200,140,No
3,IIT DELHI,24,322,Rajasthan College of Engineering for Women,Bhankrota,Ajmer Road,,302026,Jaipur,Rajasthan,220,140,No
3,IIT DELHI,24,323,Vivekananda Global University,Sector 36 NRI Road,Jagatpura Road Jagatpura,,303012,Jaipur,Rajasthan,240,140,No
3,IIT DELHI,24,324,Vivekananda Institute of Technology,Sector 36 NRI Road,Sisyawas  Jagatpura,,303012,Jaipur,Rajasthan,260,140,No
3,IIT DELHI,24,325,Vivekananda Institute of Technology East,Sector 36 NRI Road,Sisyawas  Jagatpura,,303012,Jaipur,Rajasthan,260,140,No
3,IIT DELHI,26,326,MAULANA AZAD UNIVERSITY,Kamla Nehru Nagar  Muslim School Campus,Pal Link Road,,342001,Jodhpur,Rajasthan,176,76,Yes
4,IIT Guwahati,30,401,Royal Group of Institutions,"Betkuchi, Opp. Tirupati Balaji Temple","ISBT, N.H.- 37",,781035,Guwahati,Assam,330,325,YES
4,IIT Guwahati,30,402,Scholar's Institute of Technology and Management,"Garoghuli Road, Garchuk",,,781035,Guwahati,Assam,170,170,YES
4,IIT Guwahati,30,403,North Eastern Regional Institute of Management (NERIM),"Padma Nath Sarmah Bhawan, Tripura Road, Jayanagar",Khanapara,,781022,Guwahati,Assam,108,108,NO
4,IIT Guwahati,30,404,Central Institute of Plastic Engineering & Technology (CIPET) - Guwahati,Changsari,Dist. Kamrup,,781101,Guwahati,Assam,96,96,NO
4,IIT Guwahati,30,405,NETES Institute of Technology & Science Mirza,Shantipur,Mirza,,781125,Guwahati,Assam,110,110,NO
4,IIT Guwahati,30,406,Assam Engineering Institute,"M.R.D. Road, Chandmari",,,781003,Guwahati,Assam,94,94,YES
4,IIT Guwahati,31,407,Jorhat Engineering College,Village:-Garmur,PO:-JEC,,785007,Jorhat,Assam,157,157,Yes
4,IIT Guwahati,31,408,J. B. College,JB College Road,Kakoti Gaon,Tarajan,785001,Jorhat,Assam,52,52,No
4,IIT Guwahati,33,409,L. N. Mishra Institute of Economic Development and Social Change,"1, Bailey Road",Near Patna High Court,,800001,Patna,Bihar,140,130,NO
4,IIT Guwahati,33,410,Datatek Software Solution Pvt.Ltd,Behind J.D.Womens College,"Mridula Shree Niwas, Opp. Gitanjali Appt",Shastri Nagar,800023,Patna,Bihar,117,100,YES
4,IIT Guwahati,33,411,Netaji Subhas Institute of Technology,Amhara,Bihta,,801118,Patna,Bihar,235,100,NO
4,IIT Guwahati,29,412,DAV Public School - Koyla Nagar,BCCL Township ,Koyla Nagar,,826005,Dhanbad,Jharkhand,110,110,YES
4,IIT Guwahati,28,413,Asansol Engineering College,Vivekananda Sarani,Kanyapur,Dist.: Burdwan,713305,Asansol,West Bengal,480,480,YES
4,IIT Guwahati,32,414,Kalyani Government Engineering College,Kalyani University Campus,Dist. Nadia,,741235,Kalyani,West Bengal,260,200,YES
4,IIT Guwahati,32,415,Ideal Institute of Engineering,Kalyani Shilpanchal,Opp.: Kalyani Shilpanchal Railway Station,Dist. Nadia,741235,Kalyani,West Bengal,100,100,NO
4,IIT Guwahati,34,416,Siliguri Institute of Technology,Salbari,Sukna,Dist. Darjeeling,734009,Siliguri,West Bengal,450,450,YES
5,IIT KANPUR,35,501,K. P. Group of Institutions,NH-2 Agra-Firozabad Road  Etmadpur,Agra,Uttar Pradesh India ,283202,Agra,Uttar Pradesh,212,146,Yes
5,IIT KANPUR,36,502,United College of Engineering and Research naini Ald,A-31 UPSIDC Industrial Area,Naini-Allahabad,Uttar Pradesh India ,211010,Allahabad,Uttar Pradesh,150,90,Yes
5,IIT KANPUR,36,503,Madhu Vachaspati Institute Of Engineering & Technology,Koilaha Puramufti ,G.T. Road-Kaushambi,Uttar Pradesh India ,212213,Allahabad,Uttar Pradesh,124,60,No
5,IIT KANPUR,36,504,Shambhunath Institute of Management, Jhalwa-Allahabad,,Uttar Pradesh India ,211012,Allahabad,Uttar Pradesh,100,90,No
5,IIT KANPUR,36,505,Dr. Rizvi College Of Engineering,Rizvi Educational Complex Karari Kaushambi ,,Uttar Pradesh India ,212206,Allahabad,Uttar Pradesh,140,65,No
5,IIT KANPUR,37,506,Invertis University,Invertis Village Bareilly Lucknow NH24-Bareilly,,Uttar Pradesh India ,243503,Bareilly,Uttar Pradesh,309,112,Yes
5,IIT KANPUR,38,507,NRI Group of Institutions,Sajjan Singh Nagar Raisen Road, Bhopal,Madhya Pradesh India ,462022,Bhopal,Madhya Pradesh,173,163,Yes
5,IIT KANPUR,39,508,PSIT - 2,Kanpur-Agra-New Delhi, National Highway-2 Bhauti-Kanpur,Uttar Pradesh India ,209305,Kanpur,Uttar Pradesh,505,248,Yes
5,IIT KANPUR,40,509,BN College Of Engineering and Technology,BNCET NH- 24 Near Sahara Art  and Management,Bakshi Ka Talab  Sitapur Road,Uttar Pradesh India ,227202,Lucknow,Uttar Pradesh,137,100,Yes
5,IIT KANPUR,40,510,Royal PG College,Royal campus Opposit Gate No. 6 vidhansabha,Near Pratibha cinema,Hazratganj,226001,Lucknow,Uttar Pradesh,218,100,Yes
5,IIT KANPUR,41,511,JeevanDeep Institute of Management & Technology,Bara Lalpur Post-Lamhii-Varanasi,,Uttar Pradesh India ,221007,Varanasi,Uttar Pradesh,85,80,Yes
5,IIT KANPUR,41,512,BHU University CENTER 1,Banaras Hindu University Mechanical Department,Varanasi,Uttar Pradesh India ,221005,Varanasi,Uttar Pradesh,210,131,Yes
5,IIT KANPUR,41,513,Institute of Hardware Networking And Communication Center2 ,"IHNC CENTER2, D59 107 D, 2ND FLOOR,NEAR PEPSI AGENCY,CHANDRIKA NAGAR ",Varanasi,Uttar Pradesh India ,221010,Varanasi,Uttar Pradesh,160,106,No
5,IIT KANPUR,41,514,Ambition Institute of Technology,G. T. Road Marhia, Parao-Varanasi,Uttar Pradesh India ,221102,Varanasi,Uttar Pradesh,110,88,No
5,IIT KANPUR,40,515,BBD Nothern India Institute Of Technology ,SEC 2 Akhilesh Das Nagar Faizabad Road,Lucknow,Uttar Pradesh India ,227105,Lucknow,Uttar Pradesh,450,274,No
5,IIT KANPUR,41,516,Kashi Institute Of Technology CENTER 1,MS 23 Varanasi-Allahabad Highway,Mirzamurad-Varanasi,Uttar Pradesh India ,221307,Varanasi,Uttar Pradesh,300,100,No
5,IIT KANPUR,41,517,IAIT GROUP OF INSTITUTIONS ,OPP. DLW PETROL PUMP KAKRMATTA,,Uttar Pradesh India ,221010,Varanasi,Uttar Pradesh,61,61,No
6,IIT Karagpur,47,601,S R K Institute of Technology,Enikepadu,Krishna District,,521108,Vijayawada,Andhra Pradesh,250,250,Yes
6,IIT Karagpur,48,602,VITS COLLEGE OF ENGINEERING,Sontyam,Anandapuram Mandal,,531173,Visakhapatnam,Andhra Pradesh,200,200,No
6,IIT Karagpur,45,603,Bhilai Institute of Technology Raipur,Village- Kendri,"Near Abhanpur, NH-30",New Raipur,493661,Raipur,Chhattisgarh,225,225,Yes
6,IIT Karagpur,46,604,Ram Tahal Choudhary Institute of Technology (RTCIT),Anandi,Ormanjhi Block Chowk,,835219,Ranchi,Jharkhand,320,320,No
6,IIT Karagpur,46,605,Birla Institute of Technology  Lalpur,BIT  Ext. Centre Lalpur,Near Lalpur  Chowk,,834001,Ranchi,Jharkhand,120,120,Yes
6,IIT Karagpur,42,606,Institute of Technical Education & Research (Center-1),Jagamohan Nagar,Jagamara , Khandagiri Marg,751030,Bhubaneswar,Odisha,400,400,Yes
6,IIT Karagpur,42,607,Institute of Technical Education & Research  (Center-2),Jagamohan Nagar,Jagamara , Khandagiri Marg,751030,Bhubaneswar,Odisha,250,250,Yes
6,IIT Karagpur,42,608,KIIT University Campus-15,KIIT Campus ,Patia,,751024,Bhubaneswar,Odisha,350,350,Yes
6,IIT Karagpur,42,609,Apex Institute of Technology and Management,AT: Pahala,PO: Joholo,,752101,Bhubaneswar,Odisha,230,230,Yes
6,IIT Karagpur,42,610,Gandhi Institute for Technology,"AT - Gramadiha, P.O. Gangapada",Via Janla,Khurda Dist,752054,Bhubaneswar,Odisha,210,210,Yes
6,IIT Karagpur,42,611,KIIT University Campus-1,"School of  Computer Application, Koel Campus ",KIIT University,Patia,751024,Bhubaneswar,Odisha,150,150,Yes
6,IIT Karagpur,43,612,Mallabhum Institute of Technology,Braja Radha Nagar,PO  Gossaipur  PS  Bishnupur,Dist - Bankura,722122,Bishnupur,West Bengal,250,250,Yes
6,IIT Karagpur,43,613,Haldia Institute of Technology,ICARE Complex HIT Campus,Hatiberia Post HIT,"Purba Medinipur, Haldia",721657,Haldia,West Bengal,300,300,Yes
6,IIT Karagpur,44,614,Edu Surge Kolkata,"Pride Hotel, Plot No. Bg 12","Action 1 B, New Town",Rajarhat,700156,Kolkata,West Bengal ,400,400,Yes
6,IIT Karagpur,44,615,Techno India University,"EM-4, Sector-V",Salt Lake City,,700091,Kolkata,West Bengal,250,250,Yes
6,IIT Karagpur,44,616,Budge Budge Institute of Technology,"K P Mondal Road, Nischintapur", Budge Budge,South 24 Parganas,700137,Kolkata,West Bengal,340,340,No
6,IIT Karagpur,44,617,Brainware Group of Institutions,398 Ramakrishnapur Road,Barasat (Near Jagadighata Market),North 24 Parganas,700124,Kolkata,West Bengal,330,330,No
6,IIT Karagpur,44,618,Techno India MAC Center,"EM-4/1, Sector-V",Salt Lake City,GATE - 1,700091,Kolkata,West Bengal,300,300,No
6,IIT Karagpur,44,619,Meghnad Saha Institute of Technology,"Nazirabad,  PO- Uchhepota",East Kolkata Township ,Beside Ruby Hospital,700150,Kolkata,West Bengal,200,200,No
6,IIT Karagpur,44,620,Adamas Institute of Technology,Barasat - Barrackpore Road,"Barbaria, Post Jagannathpur",North 24 Parganas ,700126,Kolkata,West Bengal,200,200,No
6,IIT Karagpur,44,621,Omdayal Group of Institutions,"Plot No.38P, 38A, 39P and 39A ",Uluberia Industrial Growth Centre ,"Birshibpur, Howrah",711316,Kolkata,West Bengal,180,180,Yes
6,IIT Karagpur,44,622,Camellia Institute of Technology,Digberia ,Badu Road,Madhyamgram,700129,Kolkata,West Bengal,150,150,No
6,IIT Karagpur,44,623,Techno India Main,"EM-4/1, Sector-V",Salt Lake City,GATE - 1,700091,Kolkata,West Bengal,150,150,No
7,IIT Madras,49,701,Dhanalakshmi College of Engineering,Dr. V. P. R Nagar , Off. Tambaram Sriperumbudur Road  via Manimangalam,Manimangalam Post,601301,Chennai,Tamil Nadu,474,265,Yes
7,IIT Madras,50,702,SVS Educational Institutions,J.P.Nagar,Myleripalayam Via,Arasampalyam,642109,Coimbatore,Tamil Nadu,152,103,No
7,IIT Madras,52,703,P.T.R. COLLEGE OF ENGINEERING AND TECHNOLOGY,THANAPANDIYAN NAGAR ,AUSTINPATTI PO,,625008,Madurai,Tamil Nadu,88,72,Yes
7,IIT Madras,54,704,Pavendar Bharathidasan College of Engineering and Technology,Thanjai Natraj Nagar ,Mathur,Pudukottai Road,620024,Tiruchirappalli,Tamil Nadu,101,84,No
7,IIT Madras,55,705,PSN College of Engineering and Technology,PSN Nagar ,Melathediyoor  Post,Tharuvai via,627152,Tirunelveli,Tamil Nadu,32,29,Yes
7,IIT Madras,51,706,Sree Narayana Gurukulam College Of Engineering,Kadayiruppu P.O.,Kolenchery,Cochin,682311,Ernakulam,Kerala,260,147,Yes
7,IIT Madras,53,707,Tata Consultancy Services ILP,Peepul Park,TechnoPark Campus,Kazhakootam,695581,Thiruvananthapuram,Kerala,180,174,Yes
7,IIT Madras,56,708,Jaya Institute of Technology and Science for Women,Sy No 910 Ward No 7 Block 1,Near Padmakshema Temple ,Hanmakonda ,506011,Warangal,Telangana,82,76,Yes
8,IIT Roorkee,57,801,Uttarnachal University,Arcadia Grant, Chandanwari, Prem Nagar,248001,Dehradun,Uttarakhand,363,253,Yes
8,IIT Roorkee,58,802,Lovely Professional University - Centre-1 (Blocks 25 - 28),Jalandhar-Delhi G.T. Road, NH-1, Chaheru,144411,Phagwara,Punjab,421,266,Yes
8,IIT Roorkee,59,803,Geeta Institute of Management & Technology Kanipla,166th Kms.Milestone on G.T. Road, Village-Kanipla,,136119,Kurukshetra,Haryana,344,253,Yes
8,IIT Roorkee,60,804,Chandigarh University Gharuan,NH-95 Chandigarh-Ludhiana Highway, Gharuan,,140413,Mohali,Punjab,694,473,Yes
8,IIT Roorkee,61,805,Moradabad Institute of Technology,Ram Ganga Vihar Phase-II, MDA Colony, Kanth Road,244001,Moradabad,Uttar Pradesh,167,90,Yes
8,IIT Roorkee,62,806,TAI Infotech Pvt Ltd,1st Floor, H-159 Sector-63, Behind Halidram,201301,Noida,Uttar Pradesh,35,55,Yes
8,IIT Roorkee,63,807,Quantum School of Technology,22 km Milestone Mandawar, Roorkee-Dehradun Highway (NH-73), Chatmalpur,247167,Roorkee,Uttarakhand,288,245,Yes
